dtref,Risk Factor - Nefin - Rm_minus_Rf - Retorno de Mercado,Risk Factor - Nefin - SMB - Size,Risk Factor - Nefin - HML - Value,Risk Factor - Nefin - WML - Momentum,Risk Factor - Nefin - IML - Iliquidez,Risk Factor - Nefin - Risk_free - Livre de Risco
2008-04-08,0.005139028653502464,-0.002474094508215785,0.0007980554364621639,-0.0058196489699184895,-0.005171957425773144,0.0004274238890502602
2008-04-09,-0.014599650166928768,0.010456244461238384,-0.006107390858232975,-0.00650420319288969,0.012630296871066093,0.0004284931346774101
2008-04-10,0.0007986929267644882,0.006083805114030838,-0.0041707344353199005,-0.007710831239819527,0.004112196154892445,0.0004284931346774101
2008-04-11,-0.014622869901359081,0.017546823248267174,-0.005953819956630468,0.004739609081298113,0.011819238774478436,0.0004284931346774101
2008-04-14,-0.0017249766970053315,0.002554692327976227,0.0027835778892040253,-0.00036292988806962967,0.018592987209558487,0.00042920580017380416
2008-04-15,0.007490375079214573,-0.0031164148822426796,-0.0028187260031700134,0.0015906421467661858,-0.003319042967632413,0.0004302745801396668
2008-04-16,0.020255807787179947,-0.015492618083953857,0.005700993351638317,0.010409874841570854,-0.02291059121489525,0.00043134306906722486
2008-04-17,0.007845906540751457,5.593441892415285e-05,0.006074842065572739,0.0011725880904123187,-0.0005370005965232849,0.0004370368260424584
2008-04-18,0.006096666678786278,0.007241697050631046,-0.003047846257686615,-0.006932432297617197,0.0033613932318985462,0.0004363255575299263
2008-04-22,0.005858039949089289,-0.001841616234742105,0.003746082540601492,0.006055627949535847,1.5525962226092815e-05,0.0004366812063381076
2008-04-23,-0.009396817535161972,-0.0021047494374215603,0.004362751729786396,0.01181899756193161,-0.003068617545068264,0.0004363255575299263
2008-04-24,-0.0068871681578457355,-0.0033914949744939804,0.004935923498123884,-0.006751677952706814,0.00046226149424910545,0.00043596987961791456
2008-04-25,0.009455053135752678,-0.004152100998908281,-0.0008311029523611069,-0.006083074025809765,-0.011511371470987797,0.00043596987961791456
2008-04-28,0.007962335832417011,-0.0010388568043708801,-0.006118820048868656,0.0009307861328125,0.0001522083766758442,0.0004363255575299263
